"Id","Indicator","CollectionFrequency","YearType","Year","Total","Apr","May","Jun","Q1","Jul","Aug","Sep","Q2","Oct","Nov","Dec","Q3","Jan","Feb","Mar","Q4","Polarity"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2012/2013","21532.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2013/2014","23193.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2014/2015","27338.00","1925.00","1917.00","2687.00","6529.00","3542.00","2762.00","3368.00","9672.00","2346.00","2025.00","1479.00","5850.00","1880.00","1617.00","1790.00","5287.00","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2015/2016","23619.00","1492.00","1702.00","2205.00","5399.00","2997.00","2680.00","1884.00","7561.00","1942.00","1768.00","1379.00","5089.00","1813.00","1759.00","1998.00","5570.00","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2016/2017","26532.00","1780.00","1870.00","2650.00","6300.00","3040.00","3014.00","2772.00","8826.00","1985.00","1845.00","1692.00","5522.00","1878.00","1794.00","2212.00","5884.00","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2017/2018","28397.00","1908.00","2327.00","2784.00","7019.00","3026.00","2747.00","2877.00","8650.00","2601.00","2305.00","1748.00","6654.00","2173.00","1952.00","1949.00","6074.00","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2018/2019","26789.00","2112.00","2194.00","2465.00","6771.00","2758.00","2787.00","2657.00","8202.00","2236.00","2000.00","1446.00","5682.00","2197.00","1879.00","2058.00","6134.00","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2019/2020","25878.00","1947.00","2317.00","2491.00","6755.00","3039.00","2676.00","2494.00","8209.00","2083.00","1928.00","1506.00","5517.00","2109.00","1856.00","1432.00","5397.00","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2020/2021","3255.00","0.00","0.00","0.00","0.00","0.00","0.00","946.00","946.00","1138.00","228.00","863.00","2229.00","80.00","0.00","0.00","80.00","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2021/2022","19322.00","997.00","1215.00","1237.00","3449.00","1690.00","1672.00","1944.00","5306.00","2003.00","1821.00","1638.00","5462.00","1602.00","1626.00","1877.00","5105.00","Up is Good"
"LIB01-B","Library Visits - Bishopthorpe Library","Monthly","Financial Year","2022/2023","","1549.00","1874.00","2164.00","5587.00","2533.00","2476.00","2741.00","7750.00","1928.00","1988.00","1371.00","5287.00","","","","","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2011/2012","32361.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2012/2013","31724.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2013/2014","35615.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2014/2015","41890.00","3062.00","3454.00","4101.00","10617.00","4046.00","4059.00","4183.00","12288.00","3908.00","3595.00","2329.00","9832.00","3001.00","2836.00","3316.00","9153.00","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2015/2016","36193.00","3119.00","3306.00","3031.00","9456.00","3581.00","2872.00","3374.00","9827.00","3203.00","2643.00","2404.00","8250.00","2560.00","2851.00","3249.00","8660.00","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2016/2017","37279.00","3069.00","3161.00","3946.00","10176.00","3359.00","3497.00","3152.00","10008.00","2775.00","3020.00","2400.00","8195.00","2967.00","2696.00","3237.00","8900.00","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2017/2018","40212.00","2891.00","3205.00","4275.00","10371.00","3981.00","3999.00","3418.00","11398.00","3479.00","2927.00","2173.00","8579.00","3348.00","2874.00","3642.00","9864.00","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2018/2019","39709.00","3095.00","3091.00","3064.00","9250.00","3635.00","4315.00","3094.00","11044.00","3971.00","3577.00","2312.00","9860.00","3246.00","3265.00","3044.00","9555.00","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2019/2020","39031.00","3835.00","3363.00","2939.00","10137.00","3494.00","4317.00","3043.00","10854.00","3486.00","3344.00","2018.00","8848.00","3666.00","3507.00","2019.00","9192.00","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2020/2021","3592.00","0.00","0.00","0.00","0.00","414.00","314.00","840.00","1568.00","1157.00","188.00","639.00","1984.00","40.00","0.00","0.00","40.00","Up is Good"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2021/2022","21622.00","929.00","940.00","1124.00","2993.00","1602.00","1831.00","2014.00","5447.00","2352.00","2280.00","1585.00","6217.00","2065.00","2067.00","2833.00","6965.00","Up is Good"
