indicator_id,Activity,LibraryName,CollectionFrequency,financialYear,Total,April,May,June,Q1,July,Aug,September,Q2,October,November,December,Q3,January,February,March,Q4,Polarity
LIB01-A,Library Visits,Acomb Explore,Monthly,2018-03-31,109785.0,8669.0,7947.0,8151.0,24767.0,9900.0,10449.0,9766.0,30115.0,9835.0,9119.0,7191.0,26145.0,9530.0,9128.0,10100.0,28758.0,Up is Good
LIB01-A,Library Visits,Acomb Explore,Monthly,2019-03-31,107442.0,8917.0,8895.0,8814.0,26626.0,9920.0,9259.0,8804.0,27983.0,9988.0,8957.0,6808.0,25753.0,9712.0,8436.0,8932.0,27080.0,Up is Good
LIB01-A,Library Visits,Acomb Explore,Monthly,2020-03-31,102475.0,8145.0,8388.0,8486.0,25019.0,9739.0,10053.0,8879.0,28671.0,9421.0,8867.0,6500.0,24788.0,9575.0,8785.0,5637.0,23997.0,Up is Good
LIB01-A,Library Visits,Acomb Explore,Monthly,2021-03-31,18806.0,0.0,0.0,0.0,0.0,1504.0,1407.0,3179.0,6090.0,4204.0,1536.0,2513.0,8253.0,1787.0,1225.0,1451.0,4463.0,Up is Good
LIB01-A,Library Visits,Acomb Explore,Monthly,2022-03-31,64474.0,2255.0,3259.0,4255.0,9769.0,5424.0,5877.0,5968.0,17269.0,6200.0,6635.0,4917.0,17752.0,5770.0,6641.0,7273.0,19684.0,Up is Good
LIB01-A,Library Visits,Acomb Explore,Monthly,2023-03-31,0.0,6768.0,7070.0,6498.0,20336.0,7901.0,8389.0,7602.0,23892.0,7999.0,7947.0,6621.0,22567.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2012-03-31,25428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2013-03-31,21532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2014-03-31,23193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2015-03-31,27338.0,1925.0,1917.0,2687.0,6529.0,3542.0,2762.0,3368.0,9672.0,2346.0,2025.0,1479.0,5850.0,1880.0,1617.0,1790.0,5287.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2016-03-31,23619.0,1492.0,1702.0,2205.0,5399.0,2997.0,2680.0,1884.0,7561.0,1942.0,1768.0,1379.0,5089.0,1813.0,1759.0,1998.0,5570.0,Up is Good
